Время, сек;Давление (избыточное), кПа;Температура,°С
1;5016,93;4,93
2;5017,31;4,83
3;5015,4;4,64
4;5013,88;4,55
5;5011,59;4,46
6;5009,68;4,37
7;5005,86;4,21
8;5003,95;4,13
9;5002,43;4,05
10;4999,76;3,91
11;4998,61;3,83
12;4997,85;3,76
13;4995,94;3,63
14;4994,79;3,56
15;4994,03;3,49
16;4993,27;3,44
17;4992,12;3,33
18;4991,36;3,27
19;4990,6;3,22
20;4989,83;3,13
21;4989,45;3,08
22;4989,45;3,04
23;4989,07;2,99
24;4988,69;2,91
25;4988,31;2,86
26;4988,31;2,82
27;4987,92;2,75
28;4987,54;2,72
29;4987,16;2,69
30;4986,78;2,66
31;4986,4;2,59
32;4986,4;2,57
33;4986,02;2,54
34;4985,63;2,48
35;4985,25;2,45
36;4984,87;2,43
37;4984,49;2,38
38;4984,11;2,36
39;4984,11;2,34
40;4984,49;2,31
41;4984,49;2,27
42;4984,49;2,25
43;4984,49;2,24
44;4984,49;2,2
45;4984,49;2,18
46;4984,49;2,17
47;4984,87;2,15
48;4984,87;2,13
49;4984,87;2,11
50;4984,87;2,09
51;4984,87;2,06
52;4984,87;2,04
53;4984,87;2,03
54;4984,87;2,02
55;4985,25;2
56;4985,25;1,99
57;4985,63;1,97
58;4986,02;1,95
59;4986,4;1,94
60;4986,78;1,93
61;4987,54;1,92
62;4987,92;1,91
63;4987,92;1,9
64;4988,31;1,89
65;4989,07;1,87
66;4989,45;1,87
67;4989,83;1,86
68;4989,83;1,84
69;4989,83;1,84
70;4989,83;1,83
71;4989,83;1,82
72;4989,83;1,81
73;4989,83;1,81
74;4989,83;1,8
75;4989,83;1,79
76;4989,83;1,78
77;4989,83;1,78
78;4989,83;1,76
79;4989,83;1,76
80;4990,21;1,75
81;4990,21;1,74
82;4990,21;1,73
83;4990,21;1,73
84;4990,21;1,72
85;4990,21;1,71
86;4990,21;1,71
87;4989,45;1,7
88;4989,45;1,7
89;4989,07;1,69
90;4988,69;1,69
91;4988,69;1,69
92;4987,54;1,67
93;4987,54;1,67
94;4987,54;1,67
95;4987,16;1,66
96;4986,78;1,65
97;4986,4;1,65
98;4986,4;1,64
99;4985,63;1,64
100;4985,63;1,63
101;4985,63;1,63
102;4985,63;1,62
103;4986,02;1,62
104;4986,02;1,61
105;4986,02;1,61
106;4986,02;1,6
107;4986,02;1,6
108;4986,02;1,6
109;4986,02;1,59
110;4986,02;1,59
111;4985,63;1,59
112;4985,63;1,58
113;4985,63;1,58
114;4985,63;1,58
115;4985,63;1,57
116;4985,63;1,57
117;4985,63;1,56
118;4985,63;1,56
119;4985,63;1,56
120;4985,63;1,56
121;4985,63;1,55
122;4985,63;1,55
123;4985,63;1,54
124;4985,63;1,54
125;4985,63;1,54
126;4985,63;1,54
127;4985,63;1,53
128;4985,63;1,53
129;4985,63;1,53
130;4985,63;1,52
131;4985,25;1,52
132;4985,25;1,52
133;4984,49;1,52
134;4984,11;1,51
135;4984,11;1,51
136;4983,34;1,51
137;4982,96;1,51
138;4982,96;1,51
139;4982,58;1,5
140;4981,82;1,5
141;4981,82;1,5
142;4981,44;1,5
143;4980,67;1,49
144;4980,67;1,49
145;4980,67;1,49
146;4980,67;1,49
147;4980,67;1,48
148;4980,67;1,48
149;4980,67;1,48
150;4980,67;1,48
151;4980,67;1,47
152;4980,67;1,47
153;4980,67;1,47
154;4980,67;1,47
155;4980,67;1,47
156;4980,67;1,47
157;4980,67;1,47
158;4980,67;1,46
159;4980,67;1,46
160;4980,67;1,46
161;4980,67;1,46
162;4980,67;1,46
163;4980,67;1,46
164;4980,67;1,45
165;4980,67;1,45
166;4980,67;1,45
167;4980,67;1,45
168;4980,67;1,44
169;4981,05;1,44
170;4980,67;1,44
171;4981,05;1,44
172;4981,05;1,44
173;4981,05;1,43
174;4981,05;1,43
175;4981,05;1,43
176;4981,05;1,43
177;4981,05;1,42
178;4981,05;1,42
179;4981,05;1,42
180;4981,05;1,42
181;4981,05;1,41
182;4981,05;1,41
183;4981,44;1,41
184;4981,44;1,41
185;4981,44;1,41
186;4981,44;1,41
187;4981,44;1,4
188;4981,44;1,4
189;4981,44;1,4
190;4981,44;1,4
191;4981,44;1,4
192;4981,44;1,39
193;4981,44;1,39
194;4981,44;1,39
195;4981,44;1,39
196;4981,05;1,39
197;4981,05;1,38
198;4981,05;1,38
199;4981,05;1,38
200;4981,05;1,37
201;4981,05;1,37
202;4981,05;1,37
203;4980,67;1,36
204;4980,29;1,36
205;4979,91;1,36
206;4979,53;1,36
207;4979,15;1,36
208;4978,76;1,35
209;4978,38;1,35
210;4978;1,35
211;4977,62;1,35
212;4977,24;1,34
213;4976,86;1,34
214;4976,47;1,34
215;4976,47;1,34
216;4976,47;1,33
217;4976,47;1,33
218;4976,47;1,33
219;4976,47;1,33
220;4976,47;1,33
221;4976,47;1,32
222;4976,47;1,32
223;4976,47;1,32
224;4976,47;1,32
225;4976,47;1,32
226;4976,47;1,31
227;4976,47;1,31
228;4976,47;1,31
229;4976,47;1,31
230;4976,47;1,31
231;4976,09;1,31
232;4976,47;1,3
233;4976,09;1,3
234;4976,09;1,3
235;4976,47;1,3
236;4976,47;1,29
237;4976,47;1,29
238;4976,47;1,29
239;4976,09;1,29
240;4976,09;1,29
241;4976,09;1,28
242;4976,09;1,28
243;4976,09;1,28
244;4976,09;1,28
245;4976,09;1,28
246;4976,09;1,27
247;4976,09;1,27
248;4976,09;1,27
249;4976,09;1,27
250;4976,09;1,27
251;4976,47;1,27
252;4976,47;1,26
253;4976,47;1,26
254;4976,47;1,26
255;4976,47;1,26
256;4976,47;1,26
257;4976,47;1,25
258;4976,47;1,25
259;4976,47;1,25
260;4976,47;1,25
261;4976,47;1,25
262;4976,47;1,25
263;4976,47;1,25
264;4976,86;1,25
265;4976,86;1,25
266;4976,86;1,25
267;4976,86;1,24
268;4976,86;1,24
269;4976,86;1,24
270;4976,86;1,24
271;4976,86;1,24
272;4977,24;1,24
273;4977,24;1,23
274;4977,24;1,23
275;4977,24;1,23
276;4976,86;1,23
277;4976,86;1,23
278;4976,86;1,23
279;4976,86;1,23
280;4976,86;1,23
281;4976,86;1,22
282;4976,86;1,22
283;4976,86;1,22
284;4976,86;1,22
285;4976,86;1,22
286;4976,86;1,22
287;4976,47;1,22
288;4976,47;1,21
289;4976,47;1,21
290;4976,47;1,21
291;4976,47;1,21
292;4976,47;1,21
293;4976,47;1,21
294;4975,71;1,21
295;4975,71;1,21
296;4975,33;1,21
297;4974,57;1,2
298;4974,18;1,2
299;4974,18;1,2
300;4973,42;1,2
301;4973,04;1,2
302;4972,66;1,2
303;4972,66;1,2
304;4971,89;1,2
305;4971,51;1,2
306;4971,51;1,2
307;4971,51;1,19
308;4971,51;1,19
309;4971,51;1,19
310;4971,51;1,19
311;4971,51;1,19
312;4971,51;1,19
313;4971,51;1,19
314;4971,51;1,19
315;4971,51;1,19
316;4971,51;1,18
317;4971,51;1,18
318;4971,51;1,18
319;4971,51;1,18
320;4971,51;1,18
321;4971,13;1,18
322;4971,13;1,18
323;4971,13;1,18
324;4971,13;1,17
325;4971,13;1,17
326;4971,13;1,17
327;4971,13;1,17
328;4971,13;1,17
329;4971,13;1,17
330;4971,13;1,17
331;4971,13;1,17
332;4971,13;1,17
333;4971,13;1,17
334;4971,13;1,17
335;4971,13;1,16
336;4971,51;1,16
337;4971,51;1,16
338;4971,13;1,16
339;4971,13;1,16
340;4971,13;1,16
341;4971,13;1,16
342;4971,13;1,15
343;4971,13;1,16
344;4971,13;1,15
345;4971,13;1,15
346;4971,13;1,15
347;4970,75;1,15
348;4970,75;1,15
349;4970,75;1,15
350;4970,75;1,15
351;4970,75;1,15
352;4970,37;1,15
353;4970,37;1,15
354;4970,37;1,15
355;4970,37;1,14
356;4970,75;1,14
357;4970,75;1,14
358;4970,75;1,14
359;4970,75;1,14
360;4970,75;1,14
361;4970,75;1,14
362;4971,13;1,13
363;4971,13;1,13
364;4971,13;1,13
365;4971,13;1,13
366;4971,13;1,13
367;4971,13;1,13
368;4971,13;1,13
369;4971,13;1,13
370;4971,13;1,13
371;4971,13;1,13
372;4971,13;1,13
373;4971,13;1,13
374;4970,75;1,13
375;4970,75;1,13
376;4970,75;1,13
377;4970,75;1,13
378;4971,13;1,12
379;4970,75;1,12
380;4971,13;1,12
381;4971,13;1,12
382;4971,13;1,12
383;4971,13;1,12
384;4971,13;1,12
385;4971,13;1,12
386;4971,13;1,11
387;4971,13;1,11
388;4971,13;1,11
389;4971,13;1,11
390;4971,13;1,11
391;4971,13;1,11
392;4971,13;1,11
393;4971,13;1,1
394;4971,51;1,1
395;4971,51;1,1
396;4971,51;1,1
397;4971,51;1,1
398;4971,89;1,1
399;4971,89;1,1
400;4971,89;1,1
401;4971,89;1,1
402;4971,89;1,1
403;4971,89;1,1
404;4971,89;1,09
405;4971,89;1,1
406;4972,28;1,09
407;4972,28;1,09
408;4972,28;1,09
409;4972,28;1,09
410;4971,89;1,09
411;4972,28;1,09
412;4972,28;1,09
413;4972,28;1,09
414;4972,28;1,09
415;4972,28;1,08
416;4972,28;1,08
417;4972,28;1,08
418;4972,28;1,08
419;4972,28;1,08
420;4972,28;1,08
421;4972,28;1,08
422;4972,28;1,08
423;4972,28;1,08
424;4972,28;1,08
425;4972,28;1,08
426;4972,28;1,08
427;4972,28;1,07
428;4972,28;1,07
429;4971,89;1,07
430;4971,89;1,07
431;4971,51;1,07
432;4971,51;1,07
433;4971,13;1,07
434;4970,75;1,07
435;4970,37;1,07
436;4969,99;1,07
437;4969,6;1,06
438;4969,22;1,06
439;4968,84;1,06
440;4968,08;1,06
441;4967,7;1,06
442;4967,7;1,06
443;4967,7;1,06
444;4967,31;1,06
445;4966,93;1,06
446;4966,93;1,06
447;4966,93;1,06
448;4966,93;1,06
449;4966,93;1,06
450;4966,93;1,06
451;4966,93;1,05
452;4966,93;1,05
453;4967,31;1,06
454;4967,31;1,05
455;4966,93;1,05
456;4966,93;1,05
457;4966,93;1,05
458;4966,93;1,05
459;4966,93;1,05
460;4966,93;1,05
461;4967,31;1,05
462;4967,31;1,05
463;4966,93;1,05
464;4966,93;1,05
465;4966,93;1,05
466;4966,93;1,05
467;4966,93;1,04
468;4967,31;1,04
469;4967,31;1,04
470;4967,31;1,04
471;4967,31;1,04
472;4967,31;1,04
473;4967,31;1,04
474;4967,31;1,04
475;4967,31;1,04
